,Field,Type,Default Aggregation,Field Calculation,Dup_Calc,Dup_Field
326,Rebates PMPM (Up/Down),string,,"IF 
(SUM(IF IF YEAR([ThruDate])=DATEPART('year',[Quarter]) THEN ""Current Year""
ELSEIF YEAR([ThruDate])-1=DATEPART('year',[Quarter]) THEN ""Prior Year""
END = 'Current Year' THEN [Rebates] END)/
(SUM({FIXED [Client],[Population], IF YEAR([ThruDate])=DATEPART('year',[Quarter]) THEN ""Current Year""
ELSEIF YEAR([ThruDate])-1=DATEPART('year',[Quarter]) THEN ""Prior Year""
END, [Quarter]: AVG(IF IF YEAR([ThruDate])=DATEPART('year',[Quarter]) THEN ""Current Year""
ELSEIF YEAR([ThruDate])-1=DATEPART('year',[Quarter]) THEN ""Prior Year""
END = 'Current Year' THEN [Population_Members] END)})/
(COUNTD(IF IF YEAR([ThruDate])=DATEPART('year',[Quarter]) THEN ""Current Year""
ELSEIF YEAR([ThruDate])-1=DATEPART('year',[Quarter]) THEN ""Prior Year""
END = 'Current Year' THEN [Quarter] END))*3)-SUM(IF IF YEAR([Quarter]) = YEAR([ThruDate]) AND DATEPART('quarter', [Quarter]) = DATEPART('quarter', [ThruDate]) THEN 
    'YTD'
ELSEIF YEAR([Quarter]) = YEAR([ThruDate])-1 AND DATEPART('quarter', [Quarter]) = DATEPART('quarter', [ThruDate]) THEN 
    'PYTD'
ELSE
    'PPYTD'
END = 'PYTD' THEN [Rebates] END)/
(SUM({FIXED [Client],[Population], IF YEAR([ThruDate])=DATEPART('year',[Quarter]) THEN ""Current Year""
ELSEIF YEAR([ThruDate])-1=DATEPART('year',[Quarter]) THEN ""Prior Year""
END, [Quarter]: AVG(IF IF YEAR([Quarter]) = YEAR([ThruDate]) AND DATEPART('quarter', [Quarter]) = DATEPART('quarter', [ThruDate]) THEN 
    'YTD'
ELSEIF YEAR([Quarter]) = YEAR([ThruDate])-1 AND DATEPART('quarter', [Quarter]) = DATEPART('quarter', [ThruDate]) THEN 
    'PYTD'
ELSE
    'PPYTD'
END = 'PYTD' THEN [Population_Members] END)})*3))/SUM(IF IF YEAR([Quarter]) = YEAR([ThruDate]) AND DATEPART('quarter', [Quarter]) = DATEPART('quarter', [ThruDate]) THEN 
    'YTD'
ELSEIF YEAR([Quarter]) = YEAR([ThruDate])-1 AND DATEPART('quarter', [Quarter]) = DATEPART('quarter', [ThruDate]) THEN 
    'PYTD'
ELSE
    'PPYTD'
END = 'PYTD' THEN [Rebates] END)/
(SUM({FIXED [Client],[Population], IF YEAR([ThruDate])=DATEPART('year',[Quarter]) THEN ""Current Year""
ELSEIF YEAR([ThruDate])-1=DATEPART('year',[Quarter]) THEN ""Prior Year""
END, [Quarter]: AVG(IF IF YEAR([Quarter]) = YEAR([ThruDate]) AND DATEPART('quarter', [Quarter]) = DATEPART('quarter', [ThruDate]) THEN 
    'YTD'
ELSEIF YEAR([Quarter]) = YEAR([ThruDate])-1 AND DATEPART('quarter', [Quarter]) = DATEPART('quarter', [ThruDate]) THEN 
    'PYTD'
ELSE
    'PPYTD'
END = 'PYTD' THEN [Population_Members] END)})*3) < 0 
THEN ""▼ "" + STR(ROUND(ABS((SUM(IF IF YEAR([ThruDate])=DATEPART('year',[Quarter]) THEN ""Current Year""
ELSEIF YEAR([ThruDate])-1=DATEPART('year',[Quarter]) THEN ""Prior Year""
END = 'Current Year' THEN [Rebates] END)/
(SUM({FIXED [Client],[Population], IF YEAR([ThruDate])=DATEPART('year',[Quarter]) THEN ""Current Year""
ELSEIF YEAR([ThruDate])-1=DATEPART('year',[Quarter]) THEN ""Prior Year""
END, [Quarter]: AVG(IF IF YEAR([ThruDate])=DATEPART('year',[Quarter]) THEN ""Current Year""
ELSEIF YEAR([ThruDate])-1=DATEPART('year',[Quarter]) THEN ""Prior Year""
END = 'Current Year' THEN [Population_Members] END)})/
(COUNTD(IF IF YEAR([ThruDate])=DATEPART('year',[Quarter]) THEN ""Current Year""
ELSEIF YEAR([ThruDate])-1=DATEPART('year',[Quarter]) THEN ""Prior Year""
END = 'Current Year' THEN [Quarter] END))*3)-SUM(IF IF YEAR([Quarter]) = YEAR([ThruDate]) AND DATEPART('quarter', [Quarter]) = DATEPART('quarter', [ThruDate]) THEN 
    'YTD'
ELSEIF YEAR([Quarter]) = YEAR([ThruDate])-1 AND DATEPART('quarter', [Quarter]) = DATEPART('quarter', [ThruDate]) THEN 
    'PYTD'
ELSE
    'PPYTD'
END = 'PYTD' THEN [Rebates] END)/
(SUM({FIXED [Client],[Population], IF YEAR([ThruDate])=DATEPART('year',[Quarter]) THEN ""Current Year""
ELSEIF YEAR([ThruDate])-1=DATEPART('year',[Quarter]) THEN ""Prior Year""
END, [Quarter]: AVG(IF IF YEAR([Quarter]) = YEAR([ThruDate]) AND DATEPART('quarter', [Quarter]) = DATEPART('quarter', [ThruDate]) THEN 
    'YTD'
ELSEIF YEAR([Quarter]) = YEAR([ThruDate])-1 AND DATEPART('quarter', [Quarter]) = DATEPART('quarter', [ThruDate]) THEN 
    'PYTD'
ELSE
    'PPYTD'
END = 'PYTD' THEN [Population_Members] END)})*3))/SUM(IF IF YEAR([Quarter]) = YEAR([ThruDate]) AND DATEPART('quarter', [Quarter]) = DATEPART('quarter', [ThruDate]) THEN 
    'YTD'
ELSEIF YEAR([Quarter]) = YEAR([ThruDate])-1 AND DATEPART('quarter', [Quarter]) = DATEPART('quarter', [ThruDate]) THEN 
    'PYTD'
ELSE
    'PPYTD'
END = 'PYTD' THEN [Rebates] END)/
(SUM({FIXED [Client],[Population], IF YEAR([ThruDate])=DATEPART('year',[Quarter]) THEN ""Current Year""
ELSEIF YEAR([ThruDate])-1=DATEPART('year',[Quarter]) THEN ""Prior Year""
END, [Quarter]: AVG(IF IF YEAR([Quarter]) = YEAR([ThruDate]) AND DATEPART('quarter', [Quarter]) = DATEPART('quarter', [ThruDate]) THEN 
    'YTD'
ELSEIF YEAR([Quarter]) = YEAR([ThruDate])-1 AND DATEPART('quarter', [Quarter]) = DATEPART('quarter', [ThruDate]) THEN 
    'PYTD'
ELSE
    'PPYTD'
END = 'PYTD' THEN [Population_Members] END)})*3))*100,1))+""%"" 
ELSEIF (SUM(IF IF YEAR([ThruDate])=DATEPART('year',[Quarter]) THEN ""Current Year""
ELSEIF YEAR([ThruDate])-1=DATEPART('year',[Quarter]) THEN ""Prior Year""
END = 'Current Year' THEN [Rebates] END)/
(SUM({FIXED [Client],[Population], IF YEAR([ThruDate])=DATEPART('year',[Quarter]) THEN ""Current Year""
ELSEIF YEAR([ThruDate])-1=DATEPART('year',[Quarter]) THEN ""Prior Year""
END, [Quarter]: AVG(IF IF YEAR([ThruDate])=DATEPART('year',[Quarter]) THEN ""Current Year""
ELSEIF YEAR([ThruDate])-1=DATEPART('year',[Quarter]) THEN ""Prior Year""
END = 'Current Year' THEN [Population_Members] END)})/
(COUNTD(IF IF YEAR([ThruDate])=DATEPART('year',[Quarter]) THEN ""Current Year""
ELSEIF YEAR([ThruDate])-1=DATEPART('year',[Quarter]) THEN ""Prior Year""
END = 'Current Year' THEN [Quarter] END))*3)-SUM(IF IF YEAR([Quarter]) = YEAR([ThruDate]) AND DATEPART('quarter', [Quarter]) = DATEPART('quarter', [ThruDate]) THEN 
    'YTD'
ELSEIF YEAR([Quarter]) = YEAR([ThruDate])-1 AND DATEPART('quarter', [Quarter]) = DATEPART('quarter', [ThruDate]) THEN 
    'PYTD'
ELSE
    'PPYTD'
END = 'PYTD' THEN [Rebates] END)/
(SUM({FIXED [Client],[Population], IF YEAR([ThruDate])=DATEPART('year',[Quarter]) THEN ""Current Year""
ELSEIF YEAR([ThruDate])-1=DATEPART('year',[Quarter]) THEN ""Prior Year""
END, [Quarter]: AVG(IF IF YEAR([Quarter]) = YEAR([ThruDate]) AND DATEPART('quarter', [Quarter]) = DATEPART('quarter', [ThruDate]) THEN 
    'YTD'
ELSEIF YEAR([Quarter]) = YEAR([ThruDate])-1 AND DATEPART('quarter', [Quarter]) = DATEPART('quarter', [ThruDate]) THEN 
    'PYTD'
ELSE
    'PPYTD'
END = 'PYTD' THEN [Population_Members] END)})*3))/SUM(IF IF YEAR([Quarter]) = YEAR([ThruDate]) AND DATEPART('quarter', [Quarter]) = DATEPART('quarter', [ThruDate]) THEN 
    'YTD'
ELSEIF YEAR([Quarter]) = YEAR([ThruDate])-1 AND DATEPART('quarter', [Quarter]) = DATEPART('quarter', [ThruDate]) THEN 
    'PYTD'
ELSE
    'PPYTD'
END = 'PYTD' THEN [Rebates] END)/
(SUM({FIXED [Client],[Population], IF YEAR([ThruDate])=DATEPART('year',[Quarter]) THEN ""Current Year""
ELSEIF YEAR([ThruDate])-1=DATEPART('year',[Quarter]) THEN ""Prior Year""
END, [Quarter]: AVG(IF IF YEAR([Quarter]) = YEAR([ThruDate]) AND DATEPART('quarter', [Quarter]) = DATEPART('quarter', [ThruDate]) THEN 
    'YTD'
ELSEIF YEAR([Quarter]) = YEAR([ThruDate])-1 AND DATEPART('quarter', [Quarter]) = DATEPART('quarter', [ThruDate]) THEN 
    'PYTD'
ELSE
    'PPYTD'
END = 'PYTD' THEN [Population_Members] END)})*3) > 0 
THEN ""▲ "" + STR(ROUND(ABS((SUM(IF IF YEAR([ThruDate])=DATEPART('year',[Quarter]) THEN ""Current Year""
ELSEIF YEAR([ThruDate])-1=DATEPART('year',[Quarter]) THEN ""Prior Year""
END = 'Current Year' THEN [Rebates] END)/
(SUM({FIXED [Client],[Population], IF YEAR([ThruDate])=DATEPART('year',[Quarter]) THEN ""Current Year""
ELSEIF YEAR([ThruDate])-1=DATEPART('year',[Quarter]) THEN ""Prior Year""
END, [Quarter]: AVG(IF IF YEAR([ThruDate])=DATEPART('year',[Quarter]) THEN ""Current Year""
ELSEIF YEAR([ThruDate])-1=DATEPART('year',[Quarter]) THEN ""Prior Year""
END = 'Current Year' THEN [Population_Members] END)})/
(COUNTD(IF IF YEAR([ThruDate])=DATEPART('year',[Quarter]) THEN ""Current Year""
ELSEIF YEAR([ThruDate])-1=DATEPART('year',[Quarter]) THEN ""Prior Year""
END = 'Current Year' THEN [Quarter] END))*3)-SUM(IF IF YEAR([Quarter]) = YEAR([ThruDate]) AND DATEPART('quarter', [Quarter]) = DATEPART('quarter', [ThruDate]) THEN 
    'YTD'
ELSEIF YEAR([Quarter]) = YEAR([ThruDate])-1 AND DATEPART('quarter', [Quarter]) = DATEPART('quarter', [ThruDate]) THEN 
    'PYTD'
ELSE
    'PPYTD'
END = 'PYTD' THEN [Rebates] END)/
(SUM({FIXED [Client],[Population], IF YEAR([ThruDate])=DATEPART('year',[Quarter]) THEN ""Current Year""
ELSEIF YEAR([ThruDate])-1=DATEPART('year',[Quarter]) THEN ""Prior Year""
END, [Quarter]: AVG(IF IF YEAR([Quarter]) = YEAR([ThruDate]) AND DATEPART('quarter', [Quarter]) = DATEPART('quarter', [ThruDate]) THEN 
    'YTD'
ELSEIF YEAR([Quarter]) = YEAR([ThruDate])-1 AND DATEPART('quarter', [Quarter]) = DATEPART('quarter', [ThruDate]) THEN 
    'PYTD'
ELSE
    'PPYTD'
END = 'PYTD' THEN [Population_Members] END)})*3))/SUM(IF IF YEAR([Quarter]) = YEAR([ThruDate]) AND DATEPART('quarter', [Quarter]) = DATEPART('quarter', [ThruDate]) THEN 
    'YTD'
ELSEIF YEAR([Quarter]) = YEAR([ThruDate])-1 AND DATEPART('quarter', [Quarter]) = DATEPART('quarter', [ThruDate]) THEN 
    'PYTD'
ELSE
    'PPYTD'
END = 'PYTD' THEN [Rebates] END)/
(SUM({FIXED [Client],[Population], IF YEAR([ThruDate])=DATEPART('year',[Quarter]) THEN ""Current Year""
ELSEIF YEAR([ThruDate])-1=DATEPART('year',[Quarter]) THEN ""Prior Year""
END, [Quarter]: AVG(IF IF YEAR([Quarter]) = YEAR([ThruDate]) AND DATEPART('quarter', [Quarter]) = DATEPART('quarter', [ThruDate]) THEN 
    'YTD'
ELSEIF YEAR([Quarter]) = YEAR([ThruDate])-1 AND DATEPART('quarter', [Quarter]) = DATEPART('quarter', [ThruDate]) THEN 
    'PYTD'
ELSE
    'PPYTD'
END = 'PYTD' THEN [Population_Members] END)})*3)*100),1))+""%"" 
ELSE STR(ROUND((SUM(IF IF YEAR([ThruDate])=DATEPART('year',[Quarter]) THEN ""Current Year""
ELSEIF YEAR([ThruDate])-1=DATEPART('year',[Quarter]) THEN ""Prior Year""
END = 'Current Year' THEN [Rebates] END)/
(SUM({FIXED [Client],[Population], IF YEAR([ThruDate])=DATEPART('year',[Quarter]) THEN ""Current Year""
ELSEIF YEAR([ThruDate])-1=DATEPART('year',[Quarter]) THEN ""Prior Year""
END, [Quarter]: AVG(IF IF YEAR([ThruDate])=DATEPART('year',[Quarter]) THEN ""Current Year""
ELSEIF YEAR([ThruDate])-1=DATEPART('year',[Quarter]) THEN ""Prior Year""
END = 'Current Year' THEN [Population_Members] END)})/
(COUNTD(IF IF YEAR([ThruDate])=DATEPART('year',[Quarter]) THEN ""Current Year""
ELSEIF YEAR([ThruDate])-1=DATEPART('year',[Quarter]) THEN ""Prior Year""
END = 'Current Year' THEN [Quarter] END))*3)-SUM(IF IF YEAR([Quarter]) = YEAR([ThruDate]) AND DATEPART('quarter', [Quarter]) = DATEPART('quarter', [ThruDate]) THEN 
    'YTD'
ELSEIF YEAR([Quarter]) = YEAR([ThruDate])-1 AND DATEPART('quarter', [Quarter]) = DATEPART('quarter', [ThruDate]) THEN 
    'PYTD'
ELSE
    'PPYTD'
END = 'PYTD' THEN [Rebates] END)/
(SUM({FIXED [Client],[Population], IF YEAR([ThruDate])=DATEPART('year',[Quarter]) THEN ""Current Year""
ELSEIF YEAR([ThruDate])-1=DATEPART('year',[Quarter]) THEN ""Prior Year""
END, [Quarter]: AVG(IF IF YEAR([Quarter]) = YEAR([ThruDate]) AND DATEPART('quarter', [Quarter]) = DATEPART('quarter', [ThruDate]) THEN 
    'YTD'
ELSEIF YEAR([Quarter]) = YEAR([ThruDate])-1 AND DATEPART('quarter', [Quarter]) = DATEPART('quarter', [ThruDate]) THEN 
    'PYTD'
ELSE
    'PPYTD'
END = 'PYTD' THEN [Population_Members] END)})*3))/SUM(IF IF YEAR([Quarter]) = YEAR([ThruDate]) AND DATEPART('quarter', [Quarter]) = DATEPART('quarter', [ThruDate]) THEN 
    'YTD'
ELSEIF YEAR([Quarter]) = YEAR([ThruDate])-1 AND DATEPART('quarter', [Quarter]) = DATEPART('quarter', [ThruDate]) THEN 
    'PYTD'
ELSE
    'PPYTD'
END = 'PYTD' THEN [Rebates] END)/
(SUM({FIXED [Client],[Population], IF YEAR([ThruDate])=DATEPART('year',[Quarter]) THEN ""Current Year""
ELSEIF YEAR([ThruDate])-1=DATEPART('year',[Quarter]) THEN ""Prior Year""
END, [Quarter]: AVG(IF IF YEAR([Quarter]) = YEAR([ThruDate]) AND DATEPART('quarter', [Quarter]) = DATEPART('quarter', [ThruDate]) THEN 
    'YTD'
ELSEIF YEAR([Quarter]) = YEAR([ThruDate])-1 AND DATEPART('quarter', [Quarter]) = DATEPART('quarter', [ThruDate]) THEN 
    'PYTD'
ELSE
    'PPYTD'
END = 'PYTD' THEN [Population_Members] END)})*3)*100,1))+""%"" 
END",,
304,Rebates PMPM Difference,real,,"(SUM(IF IF YEAR([ThruDate])=DATEPART('year',[Quarter]) THEN ""Current Year""
ELSEIF YEAR([ThruDate])-1=DATEPART('year',[Quarter]) THEN ""Prior Year""
END = 'Current Year' THEN [Rebates] END)/
(SUM({FIXED [Client],[Population], IF YEAR([ThruDate])=DATEPART('year',[Quarter]) THEN ""Current Year""
ELSEIF YEAR([ThruDate])-1=DATEPART('year',[Quarter]) THEN ""Prior Year""
END, [Quarter]: AVG(IF IF YEAR([ThruDate])=DATEPART('year',[Quarter]) THEN ""Current Year""
ELSEIF YEAR([ThruDate])-1=DATEPART('year',[Quarter]) THEN ""Prior Year""
END = 'Current Year' THEN [Population_Members] END)})/
(COUNTD(IF IF YEAR([ThruDate])=DATEPART('year',[Quarter]) THEN ""Current Year""
ELSEIF YEAR([ThruDate])-1=DATEPART('year',[Quarter]) THEN ""Prior Year""
END = 'Current Year' THEN [Quarter] END))*3)-SUM(IF IF YEAR([Quarter]) = YEAR([ThruDate]) AND DATEPART('quarter', [Quarter]) = DATEPART('quarter', [ThruDate]) THEN 
    'YTD'
ELSEIF YEAR([Quarter]) = YEAR([ThruDate])-1 AND DATEPART('quarter', [Quarter]) = DATEPART('quarter', [ThruDate]) THEN 
    'PYTD'
ELSE
    'PPYTD'
END = 'PYTD' THEN [Rebates] END)/
(SUM({FIXED [Client],[Population], IF YEAR([ThruDate])=DATEPART('year',[Quarter]) THEN ""Current Year""
ELSEIF YEAR([ThruDate])-1=DATEPART('year',[Quarter]) THEN ""Prior Year""
END, [Quarter]: AVG(IF IF YEAR([Quarter]) = YEAR([ThruDate]) AND DATEPART('quarter', [Quarter]) = DATEPART('quarter', [ThruDate]) THEN 
    'YTD'
ELSEIF YEAR([Quarter]) = YEAR([ThruDate])-1 AND DATEPART('quarter', [Quarter]) = DATEPART('quarter', [ThruDate]) THEN 
    'PYTD'
ELSE
    'PPYTD'
END = 'PYTD' THEN [Population_Members] END)})*3))/SUM(IF IF YEAR([Quarter]) = YEAR([ThruDate]) AND DATEPART('quarter', [Quarter]) = DATEPART('quarter', [ThruDate]) THEN 
    'YTD'
ELSEIF YEAR([Quarter]) = YEAR([ThruDate])-1 AND DATEPART('quarter', [Quarter]) = DATEPART('quarter', [ThruDate]) THEN 
    'PYTD'
ELSE
    'PPYTD'
END = 'PYTD' THEN [Rebates] END)/
(SUM({FIXED [Client],[Population], IF YEAR([ThruDate])=DATEPART('year',[Quarter]) THEN ""Current Year""
ELSEIF YEAR([ThruDate])-1=DATEPART('year',[Quarter]) THEN ""Prior Year""
END, [Quarter]: AVG(IF IF YEAR([Quarter]) = YEAR([ThruDate]) AND DATEPART('quarter', [Quarter]) = DATEPART('quarter', [ThruDate]) THEN 
    'YTD'
ELSEIF YEAR([Quarter]) = YEAR([ThruDate])-1 AND DATEPART('quarter', [Quarter]) = DATEPART('quarter', [ThruDate]) THEN 
    'PYTD'
ELSE
    'PPYTD'
END = 'PYTD' THEN [Population_Members] END)})*3)",,
297,Rebates PMPM YTD,real,,[Rebate per Claim (Actual) (copy)],,
313,Rebates Per Selection (Actual),real,,"IF([Parameters].[Parameter 3]=""per Script"") 
THEN SUM([Rebates])/SUM([Total_Claims]) //if per script, divide total rebates by claims
ELSE (SUM([Rebates])/(SUM([Projected Membership (LOD) (copy 2)])*3)) //if PMPM, divide total rebates by membership.  Divide by 3 for monthly amount.
END",,
306,Rebates Per Selection (Projected),real,,"IF([Parameters].[Parameter 3]=""per Script"") 
THEN SUM([Projected Rebate Rx (LOD) (copy)])/SUM([Projected Membership (LOD) (copy 3)])
ELSE [Rebate PMPM (Actual) (copy)]
END",,
101,Rebates by Contract ,integer,,"IF [Rebates by Contract] = ""X"" THEN 1 ELSE 0 END",,
90,Rebates by Population ,integer,,"IF [Rebates by Population] = ""X"" THEN 1 ELSE 0 END",,
150,Release,string,,"""Q22016""",,
3,Row ID,integer,,,,
14,Sales,real,,,,
560,Scripts Filled in Mbr County,real,,IF [MemberCounty] = [PharmacyCounty] Then [Act_Claims] END,,
585,Scripts Filled in Mbr County Color,string,,IF [MemberCounty] = [PharmacyCounty] Then 'True' ELSE 'False' END,,
549,Scripts Filled in Non-Mbr County,real,,IF [PharmacyState] <> [MemberState] THEN [Act_Claims] END,,
149,Show Chart,boolean,,MIN([FilledYear])-MAX([FilledYear])>0,,
158,Sk Id,string,,,,
520,Span,integer,,1,,1
198,Span Data,integer,,1,,1
95,Specialty ,integer,,IF LOWER([Specialty]) = 'x' THEN 1 END,,
466,Specialty % Label,real,,"CASE [Parameters].[Parameter 4]
 WHEN 'Specialty%/TC' THEN CASE [Parameters].[Parameter 4]
    WHEN 'Total Ingredient Cost' THEN SUM(IF UPPER([DrugType]) = 'SPECIALTY' THEN [Act_IngCost] END)
    WHEN 'Ingredient Cost PMPM' THEN SUM(IF UPPER([DrugType]) = 'SPECIALTY' THEN [Act_IngCost] END) / MAX(MONTH([FilledMonth]))
/ 
[Membership (LOD) (copy)]
//SUM([Membership (LOD)])
//IF MAX(YEAR([FilledMonth])) = [Year View] THEN [CY Avg Membership (LOD)] ELSE [PY Avg Membership (LOD)] END
    WHEN 'Discount %' THEN (SUM(IF UPPER([DrugType]) = 'SPECIALTY' THEN [Act_AWP] END)-SUM(IF UPPER([DrugType]) = 'SPECIALTY' THEN [Act_IngCost] END)) / SUM(IF UPPER([DrugType]) = 'SPECIALTY' THEN [Act_AWP] END)
    WHEN 'Specialty%/TC' THEN [Specialty % of Total Spend (copy)]
    WHEN 'Total Claims' THEN SUM(IF UPPER([DrugType]) = 'SPECIALTY' THEN [Act_Claims] END)
    WHEN 'Claims PMPY' THEN SUM(IF UPPER([DrugType]) = 'SPECIALTY' THEN [Act_Claims] END)
/ 
SUM({FIXED [Client], [Contract], [PBP], [FilledMonth] : AVG([Act_Members])})
    WHEN 'Ingredient Cost PC' THEN SUM(IF UPPER([DrugType]) = 'SPECIALTY' THEN [Act_IngCost] END)/ SUM(IF UPPER([DrugType]) = 'SPECIALTY' THEN [Act_Claims] END)
END
END",,
497,Specialty AWP,real,,IF UPPER([DrugType]) = 'SPECIALTY' THEN [Act_AWP] END,,
471,Specialty Claims,real,,IF UPPER([DrugType]) = 'SPECIALTY' THEN [Act_Claims] END,,
480,Specialty Drug % of Total Spend,real,,"SUM(IF UPPER([DrugType]) = 'SPECIALTY' THEN [Act_IngCost] END) 
/ 
SUM({FIXED IF YEAR([ThruDate])=DATEPART('year',[FilledMonth]) AND DATEPART('month',[FilledMonth]) <= DATEPART('month',[ThruDate]) THEN ""Current Year""
ELSEIF YEAR([ThruDate])-1=DATEPART('year',[FilledMonth]) THEN ""Prior Year""
ELSE ""2 Years Ago""
END, [Client], [Contract], [PBP], [FilledMonth] : SUM([Act_IngCost]) })",,
469,Specialty Ing Cost,real,,IF UPPER([DrugType]) = 'SPECIALTY' THEN [Act_IngCost] END,,
498,Specialty Pharmacy % of Spend,real,,"ZN(
SUM(IF CONTAINS([SpecialtyType], ""SPECIALTY"") THEN [Act_IngCost] END)
/
SUM([Act_IngCost])
)",,
475,SpecialtyType,string,,,,
6,State,string,,,,
120,Table Axis - Min,real,,"ABS(WINDOW_MIN(
(ZN([Multiple Measure Formats (copy)]) - LOOKUP(ZN([Multiple Measure Formats (copy)]), -1)) / ABS(LOOKUP(ZN([Multiple Measure Formats (copy)]), -1))
))
*1.1",,
371,Test - Actual AWP,real,,SUM([Act_AWP]) - SUM([Claims - Actuals (Monthly) (copy)].[Act_AWP]),,1
402,Test - Actual Claims Difference,real,,SUM([Act_Claims]) - SUM([Claims - Actuals (Monthly) (copy)].[Act_Claims]),,1
348,Test - Actual IngCost,real,,SUM([Act_IngCost]) - SUM([Claims - Actuals (Monthly) (copy)].[Act_IngCost]),,1
478,Testing - AWP,real,,SUM([Act_AWP]) - SUM([Claims - Actuals (Monthly) (copy)].[Act_AWP]),,1
519,Testing - Claims,real,,SUM([Act_Claims]) - SUM([Claims - Actuals (Monthly) (copy)].[Act_Claims]),,1
517,Testing - Ing Cost,real,,SUM([Act_IngCost]) - SUM([Claims - Actuals (Monthly) (copy)].[Act_IngCost]),,1
535,Testing - Ingredient Cost,real,,SUM([Act_IngCost]) - SUM([Claims - Actuals (Monthly) (copy)].[Act_IngCost]),,1
249,Therapy Class,string,,,,
208,Thru Date,date,,,,
479,ThruDate,date,,,,
496,ThruDate (Months),date,,"DATE(DATETRUNC('month', [ThruDate]))",,
316,Time Period,string,,"IF [Parameters].[Period Selector (Trends) (copy)]=""quarter"" 
THEN ""Q""+DATENAME('quarter',[Quarter])+ "" "" + DATENAME('year',[Quarter])
ELSE DATENAME('year',[Quarter]) 
END

//Show quarterly or yearly aggregated data based on dropdown (parameter) selection",,
141,Time Period Label,string,,"CASE[Parameters].[% of All Drugs (copy 2)]
    WHEN ""month"" THEN DATENAME(""month"",[FilledMonth])
    WHEN ""quarter"" THEN ""Q""+DATENAME(""quarter"",[FilledMonth])
END",,
228,Time Period Label - Trends YoY,string,,"CASE[Parameters].[% of All Drugs (copy 2)]
    WHEN ""month"" THEN LEFT(DATENAME(""month"",[FilledMonth]),1)
    WHEN ""quarter"" THEN ""Q"" + DATENAME(""quarter"",[FilledMonth])
END",,
575,Top 5 Rank,string,,"If RANK(CASE [Parameters].[Parameter 6]
    WHEN 'Total Claims' THEN SUM([Act_Claims])
    WHEN 'Total Ingredient Cost' THEN SUM([Act_IngCost])
    WHEN 'Ingredient Cost Per Claim' THEN SUM([Act_IngCost])/SUM([Act_Claims])
    WHEN 'Discount %' THEN 1-(SUM([Act_IngCost])/SUM([Act_AWP]))
    WHEN 'Generic Utilization Rate' THEN ZN(
SUM(IF CONTAINS(UPPER([ClaimType]), 'GENERIC') THEN [Act_Claims] END)
/
SUM([Act_Claims])
)
END) <= 5 Then 'Top 5' Else 'Not Top 5' END",,
17,Top Customers,integer,,5,,
259,Total Claims YTD (Down),string,,"IF (SUM([Multiple Measure Formats (copy 2)])-SUM([CY Total Scripts (copy)]))/SUM([CY Total Scripts (copy)])<0 THEN ""▼ "" + STR(ROUND((SUM([Multiple Measure Formats (copy 2)])-SUM([CY Total Scripts (copy)]))/SUM([CY Total Scripts (copy)])*100,1))+""%"" END",,
112,Total Claims YTD (Up),string,,"IF (SUM([Multiple Measure Formats (copy 2)])-SUM([CY Total Scripts (copy)]))/SUM([CY Total Scripts (copy)])>=0 THEN ""▲ "" + STR(ROUND((SUM([Multiple Measure Formats (copy 2)])-SUM([CY Total Scripts (copy)]))/SUM([CY Total Scripts (copy)])*100,1))+""%"" END",,
229,Total Claims YTD (Up/Down),string,,"IF (SUM([Multiple Measure Formats (copy 2)])-SUM([CY Total Scripts (copy)]))/SUM([CY Total Scripts (copy)])>=0 
THEN ""▲ "" + STR(ROUND((SUM([Multiple Measure Formats (copy 2)])-SUM([CY Total Scripts (copy)]))/SUM([CY Total Scripts (copy)])*100,1))+""%"" 
ELSEIF (SUM([Multiple Measure Formats (copy 2)])-SUM([CY Total Scripts (copy)]))/SUM([CY Total Scripts (copy)])<0 
THEN ""▼ "" + STR(ROUND(ABS((SUM([Multiple Measure Formats (copy 2)])-SUM([CY Total Scripts (copy)]))/SUM([CY Total Scripts (copy)])*100),1))+""%""
ELSE STR(ROUND((SUM([Multiple Measure Formats (copy 2)])-SUM([CY Total Scripts (copy)]))/SUM([CY Total Scripts (copy)])*100,1))+""%""
END",,
197,Total Claims YTD (YoY),real,,(SUM([Multiple Measure Formats (copy 2)])-SUM([CY Total Scripts (copy)]))/SUM([CY Total Scripts (copy)]),,
516,Total Drug Cost,real,,TOTAL(SUM([Act_IngCost])),,
320,Total Ingredient Cost,real,,,,
235,Total Ingredient Cost YTD (YoY),real,,(SUM([CY Total Scripts (copy 3)])-SUM([PY Total Scripts (copy)]))/SUM([PY Total Scripts (copy)]),,
209,Total Ingredient Costs YTD (Down),string,,"IF [Total Claims YTD (YoY) (copy)]<0 THEN ""▼ "" + STR(ROUND([Total Claims YTD (YoY) (copy)]*100,1))+""%"" END",,
155,Total Ingredient Costs YTD (Up),string,,"IF [Total Claims YTD (YoY) (copy)]>=0 THEN ""▲ "" + STR(ROUND([Total Claims YTD (YoY) (copy)]*100,1))+""%"" END",,
